"項目","単位","1980_55","1981_56","1982_57","1983_58","1984_59","1985_60","1986_61","1987_62","1988_63","1989_1","1990_2","1991_3","1991_4","1993_5","1994_6","1995_7","1996_8","1997_9","1998_10","1999_11","2000_12","2001_13","2002_14","2003_15","2004_16","2005_17","2006_18","2007_19","2008_20","有効数字(少数桁)"
"漁業経営体数（海面漁業・海面養殖業）","経営体","　","","","4368.0","","","","","4393.0","","","","","3963.0","","","","","3651.0","","","","","3038.0","","","","","2513.0",""
"漁船非使用","経営体","","","","73.0","","","","","114.0","","","","","95.0","","","","","118.0","","","","","47.0","","","","","35.0",""
"漁船使用","経営体","","","","4066.0","","","","","4061.0","","","","","3692.0","","","","","3392.0","","","","","2870.0","","","","","2385.0",""
"漁船使用_１トン未満","経営体","","","","722.0","","","","","758.0","","","","","706.0","","","","","637.0","","","","","510.0","","","","","452.0",""
"漁船使用_１以上３トン未満","経営体","","","","1590.0","","","","","1529.0","","","","","1282.0","","","","","1109.0","","","","","846.0","","","","","645.0",""
"漁船使用_３以上５トン未満","経営体","","","","939.0","","","","","932.0","","","","","873.0","","","","","786.0","","","","","689.0","","","","","547.0",""
"漁船使用_５以上１０トン未満","経営体","","","","391.0","","","","","440.0","","","","","465.0","","","","","505.0","","","","","531.0","","","","","462.0",""
"漁船使用_１０以上３０トン未満","経営体","","","","321.0","","","","","322.0","","","","","292.0","","","","","291.0","","","","","244.0","","","","","240.0",""
"漁船使用_３０以上１００トン未満","経営体","","","","58.0","","","","","32.0","","","","","28.0","","","","","30.0","","","","","35.0","","","","","33.0",""
"漁船使用_１００以上２００トン未満","経営体","","","","24.0","","","","","23.0","","","","","27.0","","","","","18.0","","","","","10.0","","","","","5.0",""
"漁船使用_２００トン以上","経営体","","","","21.0","","","","","25.0","","","","","19.0","","","","","16.0","","","","","5.0","","","","","1.0",""
"大型定置網","経営体","","","","10.0","","","","","10.0","","","","","8.0","","","","","6.0","","","","","9.0","","","","","8.0",""
